#CODE;RUSSIAN;;;;;;;;;;;;;x
k_atalai;Атал'ай;;;;;;;;;;;;;x
d_church_of_the_holy_light;Церковь Святого Света;;;;;;;;;;;;;x
d_church_scarlet_light;Монастырь Алого Ордена;;;;;;;;;;;;;x
d_naaru;Верные Наару;;;;;;;;;;;;;x
d_hand_of_argus;Длань Аргуса;;;;;;;;;;;;;x
d_bloodscalp;Кровавый Скальп;;;;;;;;;;;;;x
d_skullsplitter;Дробители Черепов;;;;;;;;;;;;;x
e_horde;Орда;;;;;;;;;;;;;x
e_horde_adj;Ордын;;;;;;;;;;;;;x
e_empire_of_zul;Империя Зул;;;;;;;;;;;;;x
e_empire_of_zul_adj;Зулиан;;;;;;;;;;;;;x
d_stormreaver;Бушующий Шторм;;;;;;;;;;;;;x
d_shattered_hand;Изувеченная Длань;;;;;;;;;;;;;x
d_bleeding_hollow;Кровавая Глазница;;;;;;;;;;;;;x
d_brotherhood_of_the_horse;Братство Коня;;;;;;;;;;;;;x
e_burning_legion;Пылающий Легион;;;;;;;;;;;;;x
e_burning_legion_adj;Легион;;;;;;;;;;;;;x
d_frostmane;Мерзлогривы;;;;;;;;;;;;;x
d_riverpaw;Речная Лапа;;;;;;;;;;;;;x
d_redridge;Стая Красногорья;;;;;;;;;;;;;x
d_drysnout;Сухомордые;;;;;;;;;;;;;x
d_mosshide;Мохошкуры;;;;;;;;;;;;;x
d_bluegill;Синежабрые;;;;;;;;;;;;;x
d_wildfin;Дикий Плавник;;;;;;;;;;;;;x
d_marsh;Болотоплавниковые;;;;;;;;;;;;;x
d_marsh_adj;Болотоплавник;;;;;;;;;;;;;x
d_murkgill;Черножабрые;;;;;;;;;;;;;x
d_drywhisker;Сухоусы;;;;;;;;;;;;;x
d_tunnel_rat;Туннельные Крысы;;;;;;;;;;;;;x
d_witherbark;Сухокожие;;;;;;;;;;;;;x
d_vilebranch;Порочная Ветвь;;;;;;;;;;;;;x
d_greengill;Зеленожабрые;;;;;;;;;;;;;x
d_vile_fin;Злобный Плавник;;;;;;;;;;;;;x
d_mudsnout;Грязнорылы;;;;;;;;;;;;;x
d_blackpaw;Чернолапы;;;;;;;;;;;;;x
d_caer_darrow;Каэр Дарроу;;;;;;;;;;;;;x
GNOLL_BAND;Гнолльский отряд;;;;;;;;;;;;;x
k_orc_blackrock;Черная Гора;;;;;;;;;;;;;x
d_shadow_council;Совет Теней;;;;;;;;;;;;;x
d_twilights_hammer;Сумеречный Молот;;;;;;;;;;;;;x
d_frostwolf;Северные Волки;;;;;;;;;;;;;x
d_dragonmaw;Драконья Пасть;;;;;;;;;;;;;x
d_burning_blade;Пылающий Клинок;;;;;;;;;;;;;x
d_order_of_the_silver_hand;Орден Серебряной Длани;;;;;;;;;;;;;x
d_revantusk;Сломанный Клык;;;;;;;;;;;;;x
d_guardian_of_tirisfal;Страж Тирисфаля;;;;;;;;;;;;;x
e_trade_coalition;Торговая коалиция;;;;;;;;;;;;;x
d_blackwater_raiders;Пираты Черноводья;;;;;;;;;;;;;x
k_bilgewater_cartel;Картель Трюмных Вод;;;;;;;;;;;;;x
k_steamwheedle_cartel;Картель Хитрая Шестеренка;;;;;;;;;;;;;x
k_rustwrench_cartel;Картель Ржавого Ключа;;;;;;;;;;;;;x
k_greasyshatter_cartel;Торговая компания;;;;;;;;;;;;;x
k_dampwick_cartel;Картель Промоках;;;;;;;;;;;;;x
d_nethergarde;Стражи Пустоты;;;;;;;;;;;;;x
d_warsong;Песня Войны;;;;;;;;;;;;;x
d_mossflayer;Моходеры;;;;;;;;;;;;;x
d_coucil_of_tirisfal;Совет Тирисфаля;;;;;;;;;;;;;x
d_laughing_skull;Смеющийся Череп;;;;;;;;;;;;;x
e_scourge;Плеть;;;;;;;;;;;;;x
e_alliance;Альянс;;;;;;;;;;;;;x
HORDE;Орда;;;;;;;;;;;;;x
HORDE_ADJ;Ордын;;;;;;;;;;;;;x
d_scrollhead;Резьбоголовые;;;;;;;;;;;;;x
d_shadowhide;Темношкуры;;;;;;;;;;;;;x
d_shadowhide_adj;Темношкур;;;;;;;;;;;;;x
d_howlings;Свирепые;;;;;;;;;;;;;x
d_howlings_adj;Свиреп;;;;;;;;;;;;;x
d_rageclaws;Яростный Коготь;;;;;;;;;;;;;x
d_rageclaws_adj;Яростнокоготь;;;;;;;;;;;;;x
d_bloodpaws;Кровавая Лапа;;;;;;;;;;;;;x
d_bloodpaws_adj;Кроваволап;;;;;;;;;;;;;x
d_snowfalls;Стая Поляны Снегопада;;;;;;;;;;;;;x
d_snowfalls_adj;Снегопад;;;;;;;;;;;;;x
d_burblegobbles;Бурблгубль;;;;;;;;;;;;;x
d_burblegobbles_adj;Бурблгубль;;;;;;;;;;;;;x
d_gurgleboggles;Гурглбугль;;;;;;;;;;;;;x
d_gurgleboggles_adj;Гурглбугль;;;;;;;;;;;;;x
d_frenzyhearts;Бешеное Сердце;;;;;;;;;;;;;x
d_frenzyhearts_adj;Бешеносерд;;;;;;;;;;;;;x
d_mistwhispers;Шепот Тумана;;;;;;;;;;;;;x
d_mistwhispers_adj;Шепоттуман;;;;;;;;;;;;;x
d_sparktouched;Заиндевелые;;;;;;;;;;;;;x
d_sparktouched_adj;Заиндевел;;;;;;;;;;;;;x
d_mosswalkers;Мохоброды;;;;;;;;;;;;;x
d_mosswalkers_adj;Мохоброд;;;;;;;;;;;;;x
d_winterskorn;Снежескорны;;;;;;;;;;;;;x
d_winterskorn_adj;Снежескорн;;;;;;;;;;;;;x
d_kvaldir;Квалдиры;;;;;;;;;;;;;x
d_kvaldir_adj;Квалдир;;;;;;;;;;;;;x
e_black_empire;Темная Империя;;;;;;;;;;;;;x
e_black_empire_adj;Темноимпер;;;;;;;;;;;;;x
RED_STEPPES;Красные степи;;;;;;;;;;;;;x
RED_STEPPES_ADJ;Красностеп;;;;;;;;;;;;;x
REDGORGE;Красное ущелье;;;;;;;;;;;;;x
REDGORGE_ADJ;Красноущель;;;;;;;;;;;;;x
k_firelands;Культ Огня;;;;;;;;;;;;;x
k_firelands_adj;Огнекульт;;;;;;;;;;;;;x
d_scarlet_crusade;Алый Орден;;;;;;;;;;;;;x
d_scarlet_crusade_adj;Орден;;;;;;;;;;;;;x
d_argent_dawn;Серебряный Рассвет;;;;;;;;;;;;;x
d_argent_dawn_adj;Среброрассвет;;;;;;;;;;;;;x
d_darkspear;Темное Копье;;;;;;;;;;;;;x
