#CODE;RUSSIAN;;;;;;;;;;;;;x
b_aaliynn;Aaliynn;;;;;;;;;;;;;x
b_aaliynn_adj;Aaliynnian;;;;;;;;;;;;;x
b_aamsk;Аамск;;;;;;;;;;;;;x
b_aamsk_adj;Аам;;;;;;;;;;;;;x
b_aanysil;Aanysil;;;;;;;;;;;;;x
b_aanysil_adj;Aanysilian;;;;;;;;;;;;;x
b_aaran;Aaran;;;;;;;;;;;;;x
b_aaran_adj;Aaranian;;;;;;;;;;;;;x
b_aariana;Aariana;;;;;;;;;;;;;x
b_aariana_adj;Aarianan;;;;;;;;;;;;;x
b_aariana_2;Aariana;;;;;;;;;;;;;x
b_aariana_2_adj;Aarianan;;;;;;;;;;;;;x
b_aariana_3;Aariana;;;;;;;;;;;;;x
b_aariana_3_adj;Aarianan;;;;;;;;;;;;;x
b_aaystra;Aaystra;;;;;;;;;;;;;x
b_aaystra_adj;Aaystran;;;;;;;;;;;;;x
b_abanreach;Абанрич;;;;;;;;;;;;;x
b_abanreach_adj;Абанрич;;;;;;;;;;;;;x
b_aberdeen;Aberdeen;;;;;;;;;;;;;x
b_aberdeen_adj;Aberdeenian;;;;;;;;;;;;;x
b_aberdyfi;Aberdyfi;;;;;;;;;;;;;x
b_aberdyfi_adj;Aberdyfian;;;;;;;;;;;;;x
b_aberuthven;Aberuthven;;;;;;;;;;;;;x
b_aberuthven_adj;Aberuthvenian;;;;;;;;;;;;;x
b_aberystwyth;Aberystwyth;;;;;;;;;;;;;x
b_aberystwyth_adj;Aberystwythian;;;;;;;;;;;;;x
b_aberystwyth_2;Aberystwyth;;;;;;;;;;;;;x
b_aberystwyth_2_adj;Aberystwythian;;;;;;;;;;;;;x
b_accreton;Accreton;;;;;;;;;;;;;x
b_accreton_adj;Accretonian;;;;;;;;;;;;;x
b_achnasheen;Achnasheen;;;;;;;;;;;;;x
b_achnasheen_adj;Achnasheenian;;;;;;;;;;;;;x
b_acidmind;Acidmind;;;;;;;;;;;;;x
b_acidmind_adj;Acidmindian;;;;;;;;;;;;;x
b_acidmind_2;Acidmind;;;;;;;;;;;;;x
b_acidmind_2_adj;Acidmindian;;;;;;;;;;;;;x
b_acidmind_3;Acidmind;;;;;;;;;;;;;x
b_acidmind_3_adj;Acidmindian;;;;;;;;;;;;;x
b_acina;Acina;;;;;;;;;;;;;x
b_acina_adj;Acinan;;;;;;;;;;;;;x
b_acina_2;Acina;;;;;;;;;;;;;x
b_acina_2_adj;Acinan;;;;;;;;;;;;;x
b_ackermouth;Ackermouth;;;;;;;;;;;;;x
b_ackermouth_adj;Ackermouthian;;;;;;;;;;;;;x
b_ackermouth_2;Ackermouth;;;;;;;;;;;;;x
b_ackermouth_2_adj;Ackermouthian;;;;;;;;;;;;;x
b_acofast;Acofast;;;;;;;;;;;;;x
b_acofast_adj;Acofastian;;;;;;;;;;;;;x
b_acoton;Acoton;;;;;;;;;;;;;x
b_acoton_adj;Acotonian;;;;;;;;;;;;;x
b_acoton_2;Acoton;;;;;;;;;;;;;x
b_acoton_2_adj;Acotonian;;;;;;;;;;;;;x
b_adahro;Adah'ro;;;;;;;;;;;;;x
b_adahro_adj;Adah'rian;;;;;;;;;;;;;x
b_adahro_2;Adah'ro;;;;;;;;;;;;;x
b_adahro_2_adj;Adah'rian;;;;;;;;;;;;;x
b_addersfield;Addersfield;;;;;;;;;;;;;x
b_addersfield_adj;Addersfieldian;;;;;;;;;;;;;x
b_addersfield_2;Addersfield;;;;;;;;;;;;;x
b_addersfield_2_adj;Addersfieldian;;;;;;;;;;;;;x
b_addington;Addington;;;;;;;;;;;;;x
b_addington_adj;Addingtonian;;;;;;;;;;;;;x
b_addington_2;Addington;;;;;;;;;;;;;x
b_addington_2_adj;Addingtonian;;;;;;;;;;;;;x
b_addington_3;Addington;;;;;;;;;;;;;x
b_addington_3_adj;Addingtonian;;;;;;;;;;;;;x
b_addle;Эддл;;;;;;;;;;;;;x
b_addle_adj;Эддль;;;;;;;;;;;;;x
b_adeg;Adeg;;;;;;;;;;;;;x
b_adeg_adj;Adegian;;;;;;;;;;;;;x
b_aderic;Адерик;;;;;;;;;;;;;x
b_aderic_adj;Адерик;;;;;;;;;;;;;x
b_adreath;A'dreath;;;;;;;;;;;;;x
b_adreath_adj;A'dreathian;;;;;;;;;;;;;x
b_adwick;Adwick;;;;;;;;;;;;;x
b_adwick_adj;Adwickian;;;;;;;;;;;;;x
b_adwick_2;Adwick;;;;;;;;;;;;;x
b_adwick_2_adj;Adwickian;;;;;;;;;;;;;x
b_adwick_3;Adwick;;;;;;;;;;;;;x
b_adwick_3_adj;Adwickian;;;;;;;;;;;;;x
b_adwur;Adwur;;;;;;;;;;;;;x
b_adwur_adj;Adwurian;;;;;;;;;;;;;x
b_aebarrow;Aebarrow;;;;;;;;;;;;;x
b_aebarrow_adj;Aebarrowian;;;;;;;;;;;;;x
b_aebarrow_2;Aebarrow;;;;;;;;;;;;;x
b_aebarrow_2_adj;Aebarrowian;;;;;;;;;;;;;x
b_aeberuthey;Aeberuthey;;;;;;;;;;;;;x
b_aeberuthey_adj;Aeberutheian;;;;;;;;;;;;;x
b_aeckland;Aeckland;;;;;;;;;;;;;x
b_aeckland_adj;Aecklandian;;;;;;;;;;;;;x
b_aedon;Aedon;;;;;;;;;;;;;x
b_aedon_adj;Aedonian;;;;;;;;;;;;;x
b_aedon_2;Aedon;;;;;;;;;;;;;x
b_aedon_2_adj;Aedonian;;;;;;;;;;;;;x
b_aedrina;Aedrina;;;;;;;;;;;;;x
b_aedrina_adj;Aedrinan;;;;;;;;;;;;;x
b_aedrina_2;Aedrina;;;;;;;;;;;;;x
b_aedrina_2_adj;Aedrinan;;;;;;;;;;;;;x
b_aegremonth;Aegremonth;;;;;;;;;;;;;x
b_aegremonth_adj;Aegremonthian;;;;;;;;;;;;;x
b_aegremonth_2;Aegremonth;;;;;;;;;;;;;x
b_aegremonth_2_adj;Aegremonthian;;;;;;;;;;;;;x
b_aeldo;Ael'do;;;;;;;;;;;;;x
b_aeldo_adj;Ael'dian;;;;;;;;;;;;;x
b_aeldo_2;Ael'do;;;;;;;;;;;;;x
b_aeldo_2_adj;Ael'dian;;;;;;;;;;;;;x
b_aelylah;Aelylah;;;;;;;;;;;;;x
b_aelylah_adj;Aelylahian;;;;;;;;;;;;;x
b_aemai;Aemai;;;;;;;;;;;;;x
b_aemai_adj;Aemian;;;;;;;;;;;;;x
b_aempleforth;Aempleforth;;;;;;;;;;;;;x
b_aempleforth_adj;Aempleforthian;;;;;;;;;;;;;x
b_aene;Aene;;;;;;;;;;;;;x
b_aene_adj;Aenean;;;;;;;;;;;;;x
b_aene_2;Aene;;;;;;;;;;;;;x
b_aene_2_adj;Aenean;;;;;;;;;;;;;x
b_aeoliynn;Aeoliynn;;;;;;;;;;;;;x
b_aeoliynn_adj;Aeoliynnian;;;;;;;;;;;;;x
b_aeorania;Aeorania;;;;;;;;;;;;;x
b_aeorania_adj;Aeoranian;;;;;;;;;;;;;x
b_aeorania_2;Aeorania;;;;;;;;;;;;;x
b_aeorania_2_adj;Aeoranian;;;;;;;;;;;;;x
b_aeorania_3;Aeorania;;;;;;;;;;;;;x
b_aeorania_3_adj;Aeoranian;;;;;;;;;;;;;x
b_aeri;Aeri;;;;;;;;;;;;;x
b_aeri_adj;Aerian;;;;;;;;;;;;;x
b_aerie_peak;Заоблачный Пик;;;;;;;;;;;;;x
b_aerie_peak_adj;Заоблачнопик;;;;;;;;;;;;;x
b_aerie_peak_2;Заоблачный Пик;;;;;;;;;;;;;x
b_aerie_peak_2_adj;Заоблачнопик;;;;;;;;;;;;;x
b_aermagh;Aermagh;;;;;;;;;;;;;x
b_aermagh_adj;Aermaghian;;;;;;;;;;;;;x
b_aessina;Эссина;;;;;;;;;;;;;x
b_aessina_adj;Эссин;;;;;;;;;;;;;x
