PROV1;Stormwind;;;;;;;;;;;x
PROV2;Seven Stars;;;;;;;;;;;x
PROV3;Two Moons;;;;;;;;;;;x
PROV4;Great Duker;;;;;;;;;;;x
PROV5;Lul'kail;;;;;;;;;;;x
PROV6;Goldshire;;;;;;;;;;;x
PROV7;Northshire;;;;;;;;;;;x
PROV8;Northfield;;;;;;;;;;;x
PROV9;Westbrook;;;;;;;;;;;x
PROV10;Southmead;;;;;;;;;;;x
PROV11;Stonefield;;;;;;;;;;;x
PROV12;Sunnyglade;;;;;;;;;;;x
PROV13;Tower of Azora;;;;;;;;;;;x
PROV14;Eastvale;;;;;;;;;;;x
PROV15;Lonely Tower;;;;;;;;;;;x
PROV16;Stonecairn;;;;;;;;;;;x
PROV17;Moonbrook;;;;;;;;;;;x
PROV18;Sandfoot;;;;;;;;;;;x
PROV19;Fulbrow;;;;;;;;;;;x
PROV20;Molsen;;;;;;;;;;;x
PROV21;Lakeshire;;;;;;;;;;;x
PROV22;Three Corners;;;;;;;;;;;x
PROV23;Lakeridge;;;;;;;;;;;x
PROV24;Alther;;;;;;;;;;;x
PROV25;Blackrock Pass;;;;;;;;;;;x
PROV26;Thux Tsex;;;;;;;;;;;x
PROV27;Gold Coast;;;;;;;;;;;x
PROV28;Longshore;;;;;;;;;;;x
PROV29;Sentinel Hill;;;;;;;;;;;x
PROV30;Demont;;;;;;;;;;;x
PROV31;Dust Plains;;;;;;;;;;;x
PROV32;Mortwake's Tower;;;;;;;;;;;x
PROV33;Redridge Canyons;;;;;;;;;;;x
PROV34;Shalewind;;;;;;;;;;;x
PROV35;Galardell;;;;;;;;;;;x
PROV36;Highland Path;;;;;;;;;;;x
PROV37;Grand Hamlet;;;;;;;;;;;x
PROV38;Brightwood Grove;;;;;;;;;;;x
PROV39;Tranquil Gardens;;;;;;;;;;;x
PROV40;Richgarden;;;;;;;;;;;x
PROV41;Yorgen;;;;;;;;;;;x
PROV42;Great Mound;;;;;;;;;;;x
PROV43;Addle;;;;;;;;;;;x
PROV44;Raven Hill;;;;;;;;;;;x
PROV45;Twilight Grove;;;;;;;;;;;x
PROV46;Karazhan;;;;;;;;;;;x
PROV47;Deadman's Pass;;;;;;;;;;;x
PROV48;Golden Stair;;;;;;;;;;;x
PROV49;Vice;;;;;;;;;;;x
PROV50;Zul'gurub;;;;;;;;;;;x
PROV51;Ren'kunn;;;;;;;;;;;x
PROV52;Gokuntea;;;;;;;;;;;x
PROV53;Zul'marash;;;;;;;;;;;x
PROV54;Bambala;;;;;;;;;;;x
PROV55;Southreach;;;;;;;;;;;x
PROV56;Olriar;;;;;;;;;;;x
PROV57;Kulo'ke;;;;;;;;;;;x
PROV58;Ziata'jai;;;;;;;;;;;x
PROV59;Balia'mah;;;;;;;;;;;x
PROV60;Zul'mamwe;;;;;;;;;;;x
PROV61;Zul'kunda;;;;;;;;;;;x
PROV62;Tkashi;;;;;;;;;;;x
PROV63;Kal'ai;;;;;;;;;;;x
PROV64;Bal'lal;;;;;;;;;;;x
