#CODE;RUSSIAN;;;;;;;;;;;;;x
# Legendary #;;;;;;;;;;;;;;
aluneth;Алунет;;;;;;;;;;;;;x
aluneth_desc;Этот таинственный посох является источником великой магии. Посох получил свое имя от связанного с ним существа таинственного происхождения - Алунета, обладающего поистине легендарной мощью.;;;;;;;;;;;;;x
apocalypse;Апокалипсис;;;;;;;;;;;;;x
apocalypse_desc;Массивный двуручный меч, который был выкован натрезимами, чтобы нести разрушение, голод и мор. Он обрел крайне дурную славу, когда попал в руки мага из Стражей Тирисфаля, который так и не смог взять под контроль разрушительную мощь артефакта.;;;;;;;;;;;;;x
ashbringer;Испепелитель;;;;;;;;;;;;;x
ashbringer_desc;Этот меч был выкован из кристалла чистого света. Столкнувшись с ним, любое нечестивое создание создание обратится в пепел из-за очищающего света.;;;;;;;;;;;;;x
atiesh;Атиеш;;;;;;;;;;;;;x
atiesh_desc;Атиеш, большой посох Стража - могучий посох, передаваемый от одного Стража Тирисфаля другому на протяжении столетий. Этот посох был создан из "семени ненависти" и наделяет владельца "бесконечным могуществом".;;;;;;;;;;;;;x
bloodhoof_runespear;Руническое копье Кровавого Копыта;;;;;;;;;;;;;
bloodhoof_runespear_desc;Это копье передается от отца к сыну в роду Кровавого копыта. Каждый его владелец внес огромный вклад в историю мира и лишь потом передал его тому, кто должен был после него возглавить и вести один из самых знаменитых кланов тауренов за собой.;;;;;;;;;;;;;
book_of_medivh;Книга Медива;;;;;;;;;;;;;x
book_of_medivh_desc;Книга заклинаний, написанная Медивом. Артефакт, наделенный колоссальной магической силой, особенно когда дело доходит до создания порталов и магии телепортации.;;;;;;;;;;;;;x
dark_crystal;Темный Кристалл;;;;;;;;;;;;;x
dark_crystal_desc;Из этого странного кристалла исходит магия Бездны, но где-то в его глубинах можно ощутить присутствие Света.;;;;;;;;;;;;;x
doomhammer;Молот Рока;;;;;;;;;;;;;x
doomhammer_desc;Молот Рока был выкован в лавовом источнике на Дреноре и передавался по наследству от отца к сыну вместе с именем. Несмотря на свой размер, этот молот пропитан силой стихий и способен сокрушить любого врага.;;;;;;;;;;;;;x
eye_of_sargeras;Око Саргераса;;;;;;;;;;;;;x
eye_of_sargeras_desc;Око Саргераса - могущественный драгоценный артефакт, ранее принадлежавший Аватару Саргераса. Этот магический камень гудит от переполняющей его демонический энергии.;;;;;;;;;;;;;x
felomelorn;Фело'мелорн;;;;;;;;;;;;;x
felomelorn_desc;Это фамильное оружие, название которого означает «волна огня» на талассийском языке, переходило по наследству в королевской семье высших эльфов, и Анастериан Солнечный Скиталец, внук Дат'Ремара, использовал его в войнах против троллей Амани после основания Кель'Таласа.;;;;;;;;;;;;;x
frostmourne;Ледяная Скорбь;;;;;;;;;;;;;x
frostmourne_desc;Этот меч, усеянный темными рунами, был выкован натрезимами. Души живых существ, убитых Ледяной Скорбью, остаются в вечном заточении внутри клинка, который с легкостью разрезает плоть, кость и даже самый прочный металл.;;;;;;;;;;;;;x
hammer_of_the_twilight;Молот Сумерек;;;;;;;;;;;;;x
hammer_of_the_twilight_desc;Молот Сумерек, также известный как Сумеречный Молот, был выкован из элементия и могущества Древних Богов. Он был создан, чтобы олицетворять собой символ могущества культа Сумеречного Молота.;;;;;;;;;;;;;x
horn_of_cenarius;Рог Кенария;;;;;;;;;;;;;x
horn_of_cenarius_desc;Согласно легендам, эта древняя реликвия обладает способностью взывать к душам ночных эльфов.;;;;;;;;;;;;;x
libram_of_compassion;Манускрипт Сострадания;;;;;;;;;;;;;x
libram_of_compassion_desc;Этот манускрипт является одной из самых древних реликвий церкви. Он был передан Гавинраду Алонсием Фаолом, который пожелал, чтобы его ученики стали истинными воплощениями каждого из идеалов ордена.;;;;;;;;;;;;;x
libram_of_compassion_key;Этот манускрипт является одной из самых древних реликвий церкви. [libram_giver.GetDynName], пожелавш[Prev.GetAyaIy], чтобы [Prev.GetHerHis] ученики стали истинными воплощениями каждого из идеалов ордена, передал[Prev.GetEndA] манускрипт одному из первых паладинов по имени [Prev.GetDynName].;;;;;;;;;;;;;x
libram_of_holiness;Манускрипт Святости;;;;;;;;;;;;;x
libram_of_holiness_desc;Этот манускрипт является одной из самых древних реликвий церкви. Он был передан Сайдану Датрохану Алонсием Фаолом, который пожелал, чтобы его ученики стали истиннымыми воплощениями каждого из идеалов ордена.;;;;;;;;;;;;;x
libram_of_holiness_key;Этот манускрипт является одной из самых древних реликвий церкви. [libram_giver.GetDynName], пожелавш[Prev.GetAyaIy], чтобы [Prev.GetHerHis] ученики стали истинными воплощениями каждого из идеалов ордена, передал[Prev.GetEndA] манускрипт одному из первых паладинов по имени [Prev.GetDynName].;;;;;;;;;;;;;x
libram_of_justice;Манускрипт Справделивости;;;;;;;;;;;;;x
libram_of_justice_desc;Этот манускрипт является одной из самых древних реликвий церкви. Он был передан Утеру Алонсием Фаолом, который пожелал, чтобы его ученики стали истинными воплощениями каждого из идеалов ордена.;;;;;;;;;;;;;x
libram_of_justice_key;Этот манускрипт является одной из самых древних реликвий церкви. [libram_giver.GetDynName], пожелавш[Prev.GetAyaIy], чтобы [Prev.GetHerHis] ученики стали истинными воплощениями каждого из идеалов ордена, передал[Prev.GetEndA] манускрипт одному из первых паладинов по имени [Prev.GetDynName].;;;;;;;;;;;;;x
libram_of_protection;Манускрипт Защиты;;;;;;;;;;;;;x
libram_of_protection_desc;Этот манускрипт является одной из самых древних реликвий церкви. Он был передан Туралиону Алонсием Фаолом, который пожелал, чтобы его ученики стали истинными воплощениями каждого из идеалов ордена.;;;;;;;;;;;;;x
libram_of_protection_key;Этот манускрипт является одной из самых древних реликвий церкви. [libram_giver.GetDynName], пожелавш[Prev.GetAyaIy], чтобы [Prev.GetHerHis] ученики стали истинными воплощениями каждого из идеалов ордена, передал[Prev.GetEndA] манускрипт одному из первых паладинов по имени [Prev.GetDynName].;;;;;;;;;;;;;x
libram_of_retribution;Манускрипт Воздаяния;;;;;;;;;;;;;x
libram_of_retribution_desc;Этот манускрипт является одной из самых древних реликвий церкви. Он был передан Тириону Фордрингу Алонсием Фаолом, который пожелал, чтобы его ученики стали истинными воплощениями каждого из идеалов ордена.;;;;;;;;;;;;;x
libram_of_retribution_key;Этот манускрипт является одной из самых древних реликвий церкви. [libram_giver.GetDynName], пожелавш[Prev.GetAyaIy], чтобы [Prev.GetHerHis] ученики стали истинными воплощениями каждого из идеалов ордена, передал[Prev.GetEndA] манускрипт одному из первых паладинов по имени [Prev.GetDynName].;;;;;;;;;;;;;x
orb_of_kiljaeden;Сфера Кил'джедена;;;;;;;;;;;;;x
orb_of_kiljaeden_desc;Выкованная повелителем демонов Кил'джеденом, эта сфера была передана им его чемпиону, чтобы помочь ему в уничтожении Короля-лича.;;;;;;;;;;;;;x
scepter_of_sargeras;Скипетр Саргераса;;;;;;;;;;;;;x
scepter_of_sargeras_desc;Этот нечестивый скипетр когда-то принадлежал темному титану Саргерасу. После падения титана, скипетр находился в его гробнице на протяжении веков. Находясь в руках одаренного волшебника, скипетр способен открывать врата между мирами, разрывая пространство и время.;;;;;;;;;;;;;x
scythe_of_elune;Коса Элуны;;;;;;;;;;;;;x
scythe_of_elune_desc;Коса Элуны - древний артефакт, покрытый мистическими рунами. Она была создана из клыка Голдринна и посоха Элуны. ;;;;;;;;;;;;;x
serathil;Сератил;;;;;;;;;;;;;x
serathil_desc;Сератил был выкован на Дреноре для знаменитого воина из клана Северного Волка Кас'дракора, который использовал топор в войне Кровавой Реки, завершившейся уничтожением клана Темного Шрама.;;;;;;;;;;;;;x
shadow_orb;Сфера Теней;;;;;;;;;;;;;x
shadow_orb_desc;Сфера Теней - магический артефакт, созданный орочьим Советом Теней и преподнесенный в дар Гул'дану. Долгое использование этого артефакта может лишить владельца рассудка.;;;;;;;;;;;;;x
skull_of_guldan;Череп Гул'дана;;;;;;;;;;;;;x
skull_of_guldan_desc;Череп чернокнижника Гул'дана - демонический артефакт колоссальной силы.;;;;;;;;;;;;;x
sulfuras;Сульфурас, Рука Рагнароса;;;;;;;;;;;;;x
sulfuras_desc;Сульфурас - могучее оружие Рагнароса, Повелителя Огня, выкованное из красного элементиума. Его поверхность покрыта сложными рунами, напоминающими текущую лаву.;;;;;;;;;;;;;x
the_silver_hand;Серебряная Длань;;;;;;;;;;;;;x
the_silver_hand_desc;Длань самого хранителя Тира, который провел бесчисленные битвы против врагов Пантеона. Он пожертвовал своей жизнью, чтобы скрыть побег своих соратников.;;;;;;;;;;;;;x
thunderfury;Громовая Ярость;;;;;;;;;;;;;x
thunderfury_desc;Громовая Ярость, благословенный клинок Искателя Ветра.;;;;;;;;;;;;;x
trolkalar;Трол'калар;;;;;;;;;;;;;x
