#CODE;RUSSIAN;;;;;;;;;;;;;x
green_dragon;зеленый дракон;;;;;;;;;;;;;x
azerothian;азеротская;;;;;;;;;;;;;x
black_dragon;черный дракон;;;;;;;;;;;;;x
dragon_group;драконская;;;;;;;;;;;;;x
dark_iron;черное железо;;;;;;;;;;;;;x
wildhammer;дикий молот;;;;;;;;;;;;;x
bronzebeard;бронзобород;;;;;;;;;;;;;x
old_dwarven;дворфийская;;;;;;;;;;;;;x
gnoll;гноллская;;;;;;;;;;;;;x
gnoll_group;гноллская;;;;;;;;;;;;;x
dwarf_group;дворфийская;;;;;;;;;;;;;x
hillsbradian;хилсбрадская;;;;;;;;;;;;;x
arathorian;стромская;;;;;;;;;;;;;x
gilnean;гилнесская;;;;;;;;;;;;;x
lordaeronian;лордеронская;;;;;;;;;;;;;x
human_group;человеческая;;;;;;;;;;;;;x
murloc;мурлочья;;;;;;;;;;;;;x
murloc_group;мурлочья;;;;;;;;;;;;;x
twilights_hammer;сумеречная;;;;;;;;;;;;;x
ogre;огрская;;;;;;;;;;;;;x
ogre_group;огрская;;;;;;;;;;;;;x
laughting_skull;Смеющийся Череп;;;;;;;;;;;;;x
bonechewer;Костеглод;;;;;;;;;;;;;x
thunderlord;Громоборец;;;;;;;;;;;;;x
stormreaver;Бушующий Шторм;;;;;;;;;;;;;x
burning_blade;Пылающий Клинок;;;;;;;;;;;;;x
blackrock;Черная Гора;;;;;;;;;;;;;x
bleeding_hollow;Кровавая Глазница;;;;;;;;;;;;;x
shadowmoon;Призрачная Луна;;;;;;;;;;;;;x
warsong;Песнь Войны;;;;;;;;;;;;;x
dragonmaw;Драконья Пасть;;;;;;;;;;;;;x
maghar;маг'хар;;;;;;;;;;;;;x
orcfel;оскв. орк;;;;;;;;;;;;;x
orc_group;оркская;;;;;;;;;;;;;x
atalai;Атал'ай;;;;;;;;;;;;;x
gurubashi;Гурубаши;;;;;;;;;;;;;x
troll_group;тролльская;;;;;;;;;;;;;x
shattered_hand;Изувеченная Длань;;;;;;;;;;;;;x
bloodscalp;Кровавый Скальп;;;;;;;;;;;;;x
skullsplitter;Крушитель Черепов;;;;;;;;;;;;;x
blackwater;черноводская;;;;;;;;;;;;;x
goblin_group;гоблинская;;;;;;;;;;;;;x
goblin;голбинская;;;;;;;;;;;;;x
g_riverpaw;Речная Лапа;;;;;;;;;;;;;x
g_redridge;красногорская;;;;;;;;;;;;;x
g_drysnout;Сухорыл;;;;;;;;;;;;;x
gnome_group;гномская;;;;;;;;;;;;;x
gnome;гномская;;;;;;;;;;;;;x
g_mosshide;Мохошкур;;;;;;;;;;;;;x
fire_elemental;огненный элементаль;;;;;;;;;;;;;x
