#CODE;RUSSIAN;;;;;;;;;;;;;x
# Other;;;;;;;;;;;;;;x
FIRELORD_TITLE;Мастер;;;;;;;;;;;;;x
MASTER_TITLE;Повелитель;;;;;;;;;;;;;x
MASTER_FOA;Повелитель;;;;;;;;;;;;;x
ARCHBISHOP_TITLE;Архиепископ;;;;;;;;;;;;;x
YOUR_HOLINESS_FOA;Ваше Святейшество;;;;;;;;;;;;;x
GRAND_INQUISITOR_TITLE;Великий инквизитор;;;;;;;;;;;;;x
SIR_TITLE;Сэр;;;;;;;;;;;;;x
SIR_FOA;Достопочтенный сэр;;;;;;;;;;;;;x
XXX_CARTEL;Картель [Root.GetOnlyDynastyName];;;;;;;;;;;;;x
title_guardian_of_tirisfal;Магус;;;;;;;;;;;;;x
title_guardian_of_tirisfal_female;Магна;;;;;;;;;;;;;x
title_trade_prince;Торговый принц;;;;;;;;;;;;;x
title_trade_prince_female;Торговая принцесса;;;;;;;;;;;;;x
LICH_KING_TITLE;Король-лич;;;;;;;;;;;;;x
LICH_QUEEN_TITLE;Королева-лич;;;;;;;;;;;;;x
QUARTERMASTER_TITLE;Квартирмейстер;;;;;;;;;;;;;x
QUARTERMASTER_FOA;Квартирмейстер;;;;;;;;;;;;;x
LORD_TITLE;Лорд;;;;;;;;;;;;;x
LADY_TITLE;Леди;;;;;;;;;;;;;x
TWILIGHT_VICEROY_TITLE;Сумеречный наместник;;;;;;;;;;;;;x
TWILIGHT_VICEROY_FEM_TITLE;Сумеречная наместница;;;;;;;;;;;;;x
GRAND_CRUSADER_TITLE;Великий крестоносец;;;;;;;;;;;;;x
WARCHIEF_TITLE;Вождь;;;;;;;;;;;;;x
COMMANDER_TITLE;Командующий;;;;;;;;;;;;;x
LEADER_TITLE;Предводитель;;;;;;;;;;;;;x
LEADER_FEM_TITLE;Предводительница;;;;;;;;;;;;;x
FLEET_MASTER_TITLE;Флотмейстер;;;;;;;;;;;;;x
FLEET_MASTER_FEM_TITLE;Флотмейстер;;;;;;;;;;;;;x
CAPTAIN_TITLE;Капитан;;;;;;;;;;;;;x
CAPTAIN_FEM_TITLE;Капитан;;;;;;;;;;;;;x
CAPTAIN_FOA;Капитан;;;;;;;;;;;;;x
WARMASTER_TITLE;Военный магистр;;;;;;;;;;;;;x
WARMASTER_FEM_TITLE;Военный магистр;;;;;;;;;;;;;x
BOSS_TITLE;Босс;;;;;;;;;;;;;x
BOSS_FEM_TITLE;Босс;;;;;;;;;;;;;x
MASTER_HUNTER_TITLE;Егерьмейстер;;;;;;;;;;;;;x
MASTER_HUNTER_FEM_TITLE;Егерьмейстер;;;;;;;;;;;;;x
GRAND_MAGISTER_TITLE;Великий магистр;;;;;;;;;;;;;x
GRAND_MAGISTER_FEM_TITLE;Великий магистр;;;;;;;;;;;;;x
HIGH_THORNSPEAKER_TITLE;Верховный терномант;;;;;;;;;;;;;x
HIGH_THORNSPEAKER_FEM_TITLE;Верховный терномант;;;;;;;;;;;;;x
ALPHA_PRIME_TITLE;Альфа-Вожак;;;;;;;;;;;;;x
ALPHA_PRIME_FEM_TITLE;Альфа-Вожак;;;;;;;;;;;;;x
HIGH_URSA_TITLE;Верховный Урса;;;;;;;;;;;;;x
