#CODE;RUSSIAN;;;;;;;;;;;;;x
honor_local_spirits;Honour Local Elementals;;;;;;;;;;;;;x
honor_local_spirits_desc;Prepare a ritual to honour local elementals.;;;;;;;;;;;;;x
friendly_spirits;Friendly Spirits;;;;;;;;;;;;;x
unfriendly_spirits;Unfriendly Spirits;;;;;;;;;;;;;x
echo_of_the_elements;Echo of the Elements;;;;;;;;;;;;;x
commemorate_father;Commemorate Father;;;;;;;;;;;;;x
commemorate_father_desc;Commemorate your dead father.;;;;;;;;;;;;;x
commemorate_mother;Commemorate Mother;;;;;;;;;;;;;x
commemorate_mother_desc;Commemorate your dead mother.;;;;;;;;;;;;;x
seek_ancestral_help;Seek Ancestral Help;;;;;;;;;;;;;x
seek_ancestral_help_desc;Seek help from your venerable ancestors.;;;;;;;;;;;;;x
ancestral_might;Ancestral Might;;;;;;;;;;;;;x
ancestral_guidance;Ancestral Guidance;;;;;;;;;;;;;x
ancestral_wisdom;Ancestral Wisdom;;;;;;;;;;;;;x
earth_mother_blessing;Earth Mother Blessing;;;;;;;;;;;;;x
musha_blessing;Mu'sha Blessing;;;;;;;;;;;;;x
anshe_blessing;An'she Blessing;;;;;;;;;;;;;x
earth_mother_ritual;Earth Mother Ritual;;;;;;;;;;;;;x
earth_mother_ritual_desc;Prepare a ritual to venerate the Earth Mother.;;;;;;;;;;;;;x
earth_attunement;Earth Attunement;;;;;;;;;;;;;x
earth_curse;Earth Curse;;;;;;;;;;;;;x
water_attunement;Water Attunement;;;;;;;;;;;;;x
water_curse;Water Curse;;;;;;;;;;;;;x
fire_attunement;Fire Attunement;;;;;;;;;;;;;x
fire_curse;Fire Curse;;;;;;;;;;;;;x
air_attunement;Air Attunement;;;;;;;;;;;;;x
air_curse;Air Curse;;;;;;;;;;;;;x
ice_attunement;Ice Attunement;;;;;;;;;;;;;x
ice_curse;Ice Curse;;;;;;;;;;;;;x
sand_attunement;Sand Attunement;;;;;;;;;;;;;x
sand_curse;Sand Curse;;;;;;;;;;;;;x
approach_powerful_elemental;Approach Powerful Elemental;;;;;;;;;;;;;x
approach_powerful_elemental_desc;Seek out a powerful elemental to ask for his support.;;;;;;;;;;;;;x
tidesages_blessing_decision;Ask Tidesages to Bless Land;;;;;;;;;;;;;x
tidesages_blessing_decision_desc;Ask powerful tidesages to bless the land so it may prosper.;;;;;;;;;;;;;x
lesser_tidesages_blessing;Lesser Tidesages Blessing;;;;;;;;;;;;;x
tidesages_blessing;Tidesages Blessing;;;;;;;;;;;;;x
elune_blessing;Elune's Blessing;;;;;;;;;;;;;x
greater_elune_blessing;Greater Elune's Blessing;;;;;;;;;;;;;x
pray_to_elune;Pray to Elune;;;;;;;;;;;;;x
pray_to_elune_desc;Worship Elune as the night elves did for thousands of years.;;;;;;;;;;;;;x
request_the_gift;Request the Gift;;;;;;;;;;;;;x
request_the_gift_desc;Request the gift of worgen blood to become part of the pack.;;;;;;;;;;;;;x
ritual_to_twin_gods;Ritual to Twin Gods;;;;;;;;;;;;;x
ritual_to_twin_gods_desc;Prepare the ritual to twin gods, Ursoc and Ursol.;;;;;;;;;;;;;x
seek_wd_blessing;Seek out Wild God;;;;;;;;;;;;;x
seek_wd_blessing_desc;Try to find one of the Wild Gods and ask for the blessing.;;;;;;;;;;;;;x
mark_of_ursoc;Mark of Ursoc;;;;;;;;;;;;;x
mark_of_ursol;Mark of Ursol;;;;;;;;;;;;;x
blessing_of_ashamane;Blessing of Ashamane;;;;;;;;;;;;;x
blessing_of_aviana;Blessing of Aviana;;;;;;;;;;;;;x
blessing_of_ursoc;Blessing of Ursoc;;;;;;;;;;;;;x
blessing_of_goldrinn;Blessing of Goldrinn;;;;;;;;;;;;;x
blessing_of_malorne;Blessing of Malorne;;;;;;;;;;;;;x
worgen_hunt;Worgen Hunt;;;;;;;;;;;;;x
worgen_hunt_desc;Use your beastly power to hunt game.;;;;;;;;;;;;;x
request_potion;Ask Harvest-Witch to Prepare Potion;;;;;;;;;;;;;x
request_potion_desc;Ask a local harvest-witch to prepare a powerful potion.;;;;;;;;;;;;;x
potion_of_speech;Potion of Speech;;;;;;;;;;;;;x
potion_of_strength;Potion of Strength;;;;;;;;;;;;;x
potion_of_thrift;Potion of Thrift;;;;;;;;;;;;;x
potion_of_cunning;Potion of Cunning;;;;;;;;;;;;;x
potion_of_wisdom;Potion of Wisdom;;;;;;;;;;;;;x
learn_cat_form;Learn Cat Form;;;;;;;;;;;;;x
learn_cat_form_desc;Learn how to shapeshift into a great cat.;;;;;;;;;;;;;x
learn_bear_form;Learn Bear Form;;;;;;;;;;;;;x
learn_bear_form_desc;Learn how to shapeshift into a great bear.;;;;;;;;;;;;;x
learn_talon_form;Learn Talon Form;;;;;;;;;;;;;x
learn_talon_form_desc;Learn how to shapeshift into a great bird.;;;;;;;;;;;;;x
learn_stag_form;Learn Stag Form;;;;;;;;;;;;;x
learn_stag_form_desc;Learn how to shapeshift into a great stag.;;;;;;;;;;;;;x
learn_master_cat_form;Master Cat Form;;;;;;;;;;;;;x
learn_master_cat_form_desc;Attain mastery over the §YCat Form§!;;;;;;;;;;;;;x
learn_master_bear_form;Master Bear Form;;;;;;;;;;;;;x
learn_master_bear_form_desc;Attain mastery over the §YBear Form§!.;;;;;;;;;;;;;x
learn_master_talon_form;Master Talon Form;;;;;;;;;;;;;x
learn_master_talon_form_desc;Attain mastery over the §YTalon Form§!.;;;;;;;;;;;;;x
cat_form_druid;Cat Form;;;;;;;;;;;;;x
cat_form_druid_desc;Shapeshift into the §YCat Form§!.;;;;;;;;;;;;;x
bear_form_druid;Bear Form;;;;;;;;;;;;;x
bear_form_druid_desc;Shapeshift into the §YBear Form§!.;;;;;;;;;;;;;x
talon_form_druid;Talon Form;;;;;;;;;;;;;x
talon_form_druid_desc;Shapeshift into the §YTalon Form§!.;;;;;;;;;;;;;x
stag_form_druid;Stag Form;;;;;;;;;;;;;x
stag_form_druid_desc;Shapeshift into the §YStag Form§!.;;;;;;;;;;;;;x
pack_form_druid;Pack Form;;;;;;;;;;;;;x
pack_form_druid_desc;Shapeshift into the §YPack Form§!.;;;;;;;;;;;;;x
shapeshift_back_druid;Shapeshift Back;;;;;;;;;;;;;x
shapeshift_back_druid_desc;Shapeshift back into your normal body.;;;;;;;;;;;;;x
enter_emerald_dream_decision;Enter the Emerald Dream;;;;;;;;;;;;;x
enter_emerald_dream_decision_desc;Leave the boundaries of the physical world and enter the Emerald Dream.;;;;;;;;;;;;;x
leave_emerald_dream;Leave the Emerald Dream;;;;;;;;;;;;;x
leave_emerald_dream_desc;Go back to your body in the physical world.;;;;;;;;;;;;;x
ask_for_ancient_mark;Ask Ancient for Mark;;;;;;;;;;;;;x
ask_for_ancient_mark_desc;Many ancients are part of the Cenarion Circle. You can ask one of them to mark you with its power.;;;;;;;;;;;;;x
train_with_archdruids;Train with Archdruids;;;;;;;;;;;;;x
train_with_archdruids_desc;One of the purposes of the Cenarion Circle is to spread druidic knowledge in Azeroth. You can ask them for training, increasing your class level in the process.;;;;;;;;;;;;;x
train_young_druid;Train Young Druid;;;;;;;;;;;;;x
train_young_druid_desc;You have trained many new druids in the Cenarion Circle. Maybe you should invite one of them to join your court?;;;;;;;;;;;;;x
build_cenarion_enclave;Build Cenarion Enclave;;;;;;;;;;;;;x
build_cenarion_enclave_desc;Invite your fellow members to create a Cenarion Enclave in your lands.;;;;;;;;;;;;;x
raise_host_of_the_wilds;Raise Host of the Wilds;;;;;;;;;;;;;x
raise_host_of_the_wilds_desc;The Cenarion Circle has many powerful creatures of the forests among its members. Now in times of war you can unleash them upon your enemies.;;;;;;;;;;;;;x
cenarion_circle;the Cenarion Circle;;;;;;;;;;;;;x
cenarion_circle_desc;Named in honour of the demigod Cenarius, the Cenarion Circle ensures the protection of nature and its creatures. Furthermore, the members of this faction act as keepers of ancient lore and pay particular attention to the traditional ways of the druids. In their role as protectors of nature, the men and women of the Cenarion Circle also strive to maintain the fragile balance within the world.;;;;;;;;;;;;;x
currency_name_cenarion_circle;Harmony;;;;;;;;;;;;;x
cenarion_circle_rank_1_male;Tender;;;;;;;;;;;;;x
cenarion_circle_rank_1_female;Tender;;;;;;;;;;;;;x
cenarion_circle_rank_2_male;Hierophant;;;;;;;;;;;;;x
cenarion_circle_rank_2_female;Hierophant;;;;;;;;;;;;;x
cenarion_circle_rank_3_male;Instructor;;;;;;;;;;;;;x
cenarion_circle_rank_3_female;Instructor;;;;;;;;;;;;;x
cenarion_circle_rank_4_male;Keeper;;;;;;;;;;;;;x
cenarion_circle_rank_4_female;Keeper;;;;;;;;;;;;;x
cenarion_circle_rank_5_male;Archdruid;;;;;;;;;;;;;x
cenarion_circle_rank_5_female;Archdruid;;;;;;;;;;;;;x
sisterhood_of_elune;the Sisterhood of Elune;;;;;;;;;;;;;x
