#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Loa_group_option_next_1;Покажите мне больше Лоа!;;;;;;;;;;;;;x
Loa_group_option_previous_1;Покажите мне предыдущих Лоа;;Zeigt mir die vorherigen Gцtter!;;;;;;;;;;;x
Loa1001;Несмотря на культурные различия между племенами троллей, их всех объединяет вера в Лоа. Вам следует выбрать одного из этих богов в качестве покровителя и следовать его мудрости.;;;;;;;;;;;;;x
Loa_group_option_1;Аманийские Лоа;;;;;;;;;;;;;x
Loa_group_option_2;Тотемические духи племени Кровавого Скальпа;;;;;;;;;;;;;x
Loa_group_option_3;Лоа племени Темного Копья;;;;;;;;;;;;;x
Loa_group_option_4;Лоа племени Драккари;;;;;;;;;;;;;x
Loa_group_option_5;Лоа племени Гурубаши;;;;;;;;;;;;;x
Loa_group_option_6;Лоа племени Песчаной Бури;;;;;;;;;;;;;x
Loa_group_option_7;Лоа племен Порочной Ветви и Сухокожих;;;;;;;;;;;;;x
Loa_group_option_8;Зандаларские Лоа;;;;;;;;;;;;;x
Loa_group_option_9;Прочие Лоа;;;;;;;;;;;;;x
#Decisions;;;;;;;;;;;;;;
pick_main_loa;Выбрать Лоа-покровителя;;;;;;;;;;;;;x
pick_main_loa_desc;Лоа - духи великих предков, Дикие Боги или прочее, что наставляет своих последователей. Лоа повсюду!;;;;;;;;;;;;;x
pick_main_loa_tooltip;§Y[Root.GetTitledFirstName]§! выберет Лоа-покровителя.;;;;;;;;;;;;;x
pick_main_loa_timer_tooltip;Вы НЕ выбирали Лоа-покровителя в последние 10 лет;;;;;;;;;;;;;x
#Events;;;;;;;;;;;;;;
EVTDESC_WCLOA_1010;Пришло время выбрать себе Лоа-покровителя. Каждый тролль обязан почитать по крайней мере одного Лоа, будь то Лоа-зверь или Лоа из мира духов. Кто же им станет?;;;;;;;;;;;;;x
EVTOPTA_WCLOA_1010;Я буду поклоняться тому же Лоа, которому поклоняется мой сюзерен!;;;;;;;;;;;;;x
EVTOPTB_WCLOA_1010;Налоракк, Медведь!;;;;;;;;;;;;;x
EVTOPTC_WCLOA_1010;Акил'зон, Орел!;;;;;;;;;;;;;x
